item_id,item_name,item_price,category_lv1,category_lv2
1,商品00001,5169,チルド売り場, 飲料
2,商品00002,889,消耗品, 洗剤
3,商品00003,4848,消耗品, フレグランス
4,商品00004,4194,消耗品, 化粧品
5,商品00005,6152,常温売り場, 菓子
6,商品00006,2547,常温売り場, ベビーフード、穀類、その他
7,商品00007,5242,消耗品, フレグランス
8,商品00008,5939,チルド売り場, 加熱用野菜・きのこ
9,商品00009,5633,常温売り場, 酒類
10,商品00010,2232,常温売り場, 即席食品
11,商品00011,156,チルド売り場, 水産練り製品、チルド半製品
12,商品00012,2117,消耗品, 化粧品
13,商品00013,6715,消耗品, 贈答品
14,商品00014,6341,冷凍売り場, 冷凍食品
15,商品00015,1754,常温売り場, パン、もち
16,商品00016,412,消耗品, 生活環境用品
17,商品00017,1901,消耗品, 衛生用品
18,商品00018,9821,チルド売り場, 加熱用野菜・きのこ
19,商品00019,3021,消耗品, フレグランス
20,商品00020,9321,消耗品, 生活環境用品
21,商品00021,3131,消耗品, ステーショナリー
22,商品00022,2386,消耗品, ステーショナリー
23,商品00023,4822,常温売り場, コーヒー、紅茶、緑茶
24,商品00024,3935,常温売り場, ベビーフード、穀類、その他
25,商品00025,8446,消耗品, バスボディケア用品
26,商品00026,5527,常温売り場, 即席食品
27,商品00027,9670,消耗品, キッチン消耗品
28,商品00028,4472,消耗品, キッチン消耗品
29,商品00029,7358,消耗品, 頭髪化粧品
30,商品00030,719,消耗品, 医療関連品、雑貨
31,商品00031,2800,消耗品, ステーショナリー
32,商品00032,440,消耗品, ペットフード、サニタリー
33,商品00033,2515,チルド売り場, 漬物、総菜
34,商品00034,6639,消耗品, バスボディケア用品
35,商品00035,6708,常温売り場, ベビーフード、穀類、その他
36,商品00036,4892,常温売り場, 酒類
37,商品00037,9682,消耗品, バスボディケア用品
38,商品00038,1970,チルド売り場, 加熱用野菜・きのこ
39,商品00039,4810,チルド売り場, 畜肉加工品
40,商品00040,7251,常温売り場, ジャム、スプレッド、プレミックス
41,商品00041,1198,チルド売り場, 漬物、総菜
42,商品00042,1139,常温売り場, 調味料、甘味料
43,商品00043,1515,常温売り場, コーヒー、紅茶、緑茶
44,商品00044,2396,チルド売り場, 乳製品、豆乳類
45,商品00045,9269,常温売り場, 酒類
46,商品00046,5529,常温売り場, ジャム、スプレッド、プレミックス
47,商品00047,8669,常温売り場, 即席食品
48,商品00048,5481,常温売り場, 酒類
49,商品00049,2836,消耗品, 贈答品
50,商品00050,433,チルド売り場, 加熱用野菜・きのこ
51,商品00051,9156,常温売り場, 乾物、めん類
52,商品00052,8041,チルド売り場, 飲料
53,商品00053,4897,消耗品, 医療関連品、雑貨
54,商品00054,8756,常温売り場, 乾物、めん類
55,商品00055,4774,消耗品, 身だしなみ用品
56,商品00056,9493,消耗品, バスボディケア用品
57,商品00057,9343,常温売り場, パン、もち
58,商品00058,3448,チルド売り場, 乳製品、豆乳類
59,商品00059,713,チルド売り場, 畜肉加工品
60,商品00060,6817,常温売り場, 酒類
61,商品00061,1498,消耗品, オーラルケア用品
62,商品00062,3822,消耗品, ペットフード、サニタリー
63,商品00063,2982,消耗品, フレグランス
64,商品00064,954,チルド売り場, チルドデザート
65,商品00065,4126,消耗品, バスボディケア用品
66,商品00066,4352,チルド売り場, 加熱用野菜・きのこ
67,商品00067,3298,消耗品, 医療関連品、雑貨
68,商品00068,3427,常温売り場, 酒類
69,商品00069,2162,チルド売り場, 加熱用野菜・きのこ
70,商品00070,4508,消耗品, 身だしなみ用品
71,商品00071,2032,消耗品, ステーショナリー
72,商品00072,9127,消耗品, バスボディケア用品
73,商品00073,4699,チルド売り場, チルドデザート
74,商品00074,7475,消耗品, 生活環境用品
75,商品00075,6132,チルド売り場, チルドデザート
76,商品00076,5918,消耗品, 頭髪化粧品
77,商品00077,8761,常温売り場, 乾物、めん類
78,商品00078,8054,消耗品, 衛生用品
79,商品00079,5563,消耗品, 医療関連品、雑貨
80,商品00080,2830,消耗品, ペットフード、サニタリー
81,商品00081,8525,消耗品, 化粧品
82,商品00082,8286,チルド売り場, 豆腐、納豆、こんにゃく
83,商品00083,622,冷凍売り場, アイスクリーム・氷
84,商品00084,4677,チルド売り場, 畜肉加工品
85,商品00085,5851,消耗品, 身だしなみ用品
86,商品00086,4487,チルド売り場, 畜肉加工品
87,商品00087,2494,チルド売り場, 加熱用野菜・きのこ
88,商品00088,4337,常温売り場, コーヒー、紅茶、緑茶
89,商品00089,9710,常温売り場, ベビーフード、穀類、その他
90,商品00090,8399,常温売り場, 即席食品
91,商品00091,2319,消耗品, 贈答品
92,商品00092,5437,消耗品, オーラルケア用品
93,商品00093,5482,消耗品, バスボディケア用品
94,商品00094,1139,消耗品, 贈答品
95,商品00095,8191,消耗品, バスボディケア用品
96,商品00096,1750,消耗品, ペットフード、サニタリー
97,商品00097,9414,常温売り場, 缶詰、瓶詰
98,商品00098,2104,消耗品, 贈答品
99,商品00099,766,消耗品, 化粧品
100,商品00100,1450,チルド売り場, 水産練り製品、チルド半製品
